         -40     0.09218         0.1
       -39.9     -0.0278         0.1
       -39.8     -0.1324         0.1
       -39.7     -0.1518         0.1
       -39.6    -0.01989         0.1
       -39.5    -0.03784         0.1
       -39.4     -0.1307         0.1
       -39.3    -0.07157         0.1
       -39.2    -0.01273         0.1
       -39.1     0.07976         0.1
         -39      0.1596         0.1
       -38.9      0.2149         0.1
       -38.8    -0.07335         0.1
       -38.7     -0.1521         0.1
       -38.6       0.061         0.1
       -38.5     0.08447         0.1
       -38.4     0.02487         0.1
       -38.3    -0.04805         0.1
       -38.2      0.1229         0.1
       -38.1    -0.09164         0.1
         -38     0.09372         0.1
       -37.9    -0.08917         0.1
       -37.8     0.05909         0.1
       -37.7    0.001712         0.1
       -37.6      0.1673         0.1
       -37.5      0.1527         0.1
       -37.4     0.03817         0.1
       -37.3    0.009081         0.1
       -37.2     -0.1552         0.1
       -37.1    -0.04715         0.1
         -37     -0.1734         0.1
       -36.9     0.07084         0.1
       -36.8     -0.0698         0.1
       -36.7     -0.1373         0.1
       -36.6    -0.01602         0.1
       -36.5      0.1468         0.1
       -36.4   -0.009275         0.1
       -36.3     0.02816         0.1
       -36.2    -0.09496         0.1
       -36.1    -0.01769         0.1
         -36      -0.106         0.1
       -35.9    -0.04289         0.1
       -35.8     0.07211         0.1
       -35.7       0.117         0.1
       -35.6     -0.2319         0.1
       -35.5     0.08166         0.1
       -35.4   -0.004841         0.1
       -35.3     0.06328         0.1
       -35.2    -0.02458         0.1
       -35.1    -0.02703         0.1
         -35     -0.1643         0.1
       -34.9    0.008098         0.1
       -34.8      0.1235         0.1
       -34.7      0.2419         0.1
       -34.6   0.0008569         0.1
       -34.5     -0.1263         0.1
       -34.4     0.01764         0.1
       -34.3    -0.03742         0.1
       -34.2    -0.02793         0.1
       -34.1     0.01934         0.1
         -34    -0.02322         0.1
       -33.9     -0.1287         0.1
       -33.8      0.1426         0.1
       -33.7    -0.04824         0.1
       -33.6    -0.07358         0.1
       -33.5     0.00842         0.1
       -33.4      -0.054         0.1
       -33.3    -0.09895         0.1
       -33.2    -0.07657         0.1
       -33.1     0.07952         0.1
         -33     0.06784         0.1
       -32.9      0.1137         0.1
       -32.8    0.007136         0.1
       -32.7      0.1122         0.1
       -32.6     0.08261         0.1
       -32.5     -0.1044         0.1
       -32.4     0.04503         0.1
       -32.3    -0.06112         0.1
       -32.2    -0.08165         0.1
       -32.1     0.02188         0.1
         -32     -0.0705         0.1
       -31.9     -0.1578         0.1
       -31.8   0.0007706         0.1
